Nom,Nom url,Developpeur,Categorie(s),Nombre installations,Date de mise a jour,Taille,Version Actuelle,Version Android,Note,Date,Heure
Chess - Offline Board Game,gamovation.chessclubpilot,GamoVation,Board,1000000,2022-03-30 00:00:00.000000,48 Mo,1.5.1,5.0,4.8,2022-04-11 00:00:00.000000,2022-05-06 21:32:34.615411
Checkers Online,lukok.draughts,Chess & Checkers Games,Board,100000000,2022-03-23 00:00:00.000000,20 Mo,2.17.3,5.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:34.736079
Undercover: the Forgetful Spy,yanstarstudio.joss.undercover,Yanstar Studio OU,Board,1000000,2022-03-31 00:00:00.000000,19 Mo,3.3.3,5.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:34.852422
Checkers,dimcoms.checkers,English Checkers,Board,100000000,2021-10-30 00:00:00.000000,3.5 Mo,4.4.4,4.1,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:32:34.967735
Dominoes,LoopGames.Domino,Loop Games,Board,50000000,2022-03-24 00:00:00.000000,35 Mo,1.53,4.4,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:35.081023
Chess,llx.chess,CanaryDroid,Board,50000000,2021-08-20 00:00:00.000000,5.6 Mo,1.1.8,2.3,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:35.192422
Bingo Blitz™️ - Bingo Games,com.buffalo_studios.newflashbingo,Playtika Santa Monica,Board,50000000,2022-04-06 00:00:00.000000,288 Mo,4.89.0,5.0,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:35.414893
Color Master Pro:Coloring Book,by.number.coloring.paint.puzzle.pixel.art.drawing.painting.games.kids.adults.fun.pictures,Rabi Game Studio@Rabi Game,Board,500000,2022-04-11 00:00:00.000000,38 Mo,1.9.2,4.4,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:35.564089
Yatzy,LoopGames.Yatzy,Loop Games,Board,1000000,2022-03-24 00:00:00.000000,36 Mo,1.51,4.4,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:35.787463
Color by Number: Coloring Game,tfgco.apps.coloring.free.color.by.number,Fun Games For Free,Board,10000000,2022-04-04 00:00:00.000000,48 Mo,2.23,4.4,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:35.928744
Chess,jetstartgames.chess,Chess Prince,Board,100000000,2021-10-31 00:00:00.000000,2.8 Mo,2.8.1,4.1,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:36.044357
Subway Surfers,kiloo.subwaysurf,SYBO Games,Arcade,1000000000,2022-04-01 00:00:00.000000,153 Mo,2.32.0,4.4,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:32:36.157467
Hole.io,voodoo.holeio,VOODOO,Arcade,100000000,2022-03-25 00:00:00.000000,127 Mo,1.16.6,4.4,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:32:36.272555
Merge Master - Dinosaur Fusion,fusee.MergeMaster,HOMA GAMES,Arcade,10000000,2022-03-15 00:00:00.000000,84 Mo,1.0.15,5.1,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:32:36.386470
2 Player games : the Challenge,JindoBlu.TwoPlayerGamesChallenge,JindoBlu,Arcade,50000000,2022-04-07 00:00:00.000000,37 Mo,4.8.7,4.4,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:36.500421
Stone Grass — Mowing Simulator,frph.stonegrass,Freeplay Inc,Arcade,10000000,2022-03-19 00:00:00.000000,115 Mo,1.7.120,4.4,3.5,2022-04-11 00:00:00.000000,2022-05-06 21:32:36.616924
Cooking Madness -A Chef's Game,biglime.cookingmadness,ZenLife Games Ltd,Arcade,100000000,2022-04-08 00:00:00.000000,201 Mo,2.1.3,4.4,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:32:36.845262
Monsters: Laboratory,teagames.monsterslaboratory,playducky.com,Arcade,500000,2022-03-30 00:00:00.000000,77 Mo,0.6,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:36.970834
Geometry Dash Lite,robtopx.geometryjumplite,RobTop Games,Arcade,100000000,2019-12-11 00:00:00.000000,58 Mo,2.2,4.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:32:37.084554
Titan Rush,titan.rush.game,TapNation,Arcade,100000,2022-04-08 00:00:00.000000,97 Mo,1.2.8,5.1,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:32:37.199251
